id,priority,category,catalog,po,line,source,translation,proposal,reason
F023,P2,Format,locale-langpack/libgphoto2-6,po/locale-langpack/libgphoto2-6.po,9598,Transmission timed out even after 2 retries. Giving up...,Överföringen tog för lång tid och avbröts efter %i försök. Ger upp…,Överföringen överskred tidsgränsen även efter två nya försök. Ger upp…,Originalets fasta två återförsök har blivit ett formatargument som inte finns i originalet.
F024,P2,Format,locale-langpack/libgphoto2-2,po/locale-langpack/libgphoto2-2.po,6161,"Some notes about Epson cameras:
- Some parameters are not controllable remotely:
  * zoom
  * focus
  * custom white balance setup
- Configuration has been reverse-engineered with
  a PhotoPC 3000z, if your camera acts differently
  please send a mail to the gphoto developer mailing list (in English)
","Några anteckningar om Epson-kameror:
- Vissa parametrar går inte att fjärrstyra:
  * zoom
  * fokus
  * anpassad vitbalansinställning
- Konfigurationen har blivit avkodad med
  en PhotoPC 3000z, om din kamera beter sig annorlunda
  skriv ett brev till %s (på Engelska)
","Några anteckningar om Epson-kameror:
- Vissa parametrar går inte att fjärrstyra:
  * zoom
  * fokus
  * anpassad vitbalansinställning
- Konfigurationen har blivit avkodad med
  en PhotoPC 3000z, om din kamera beter sig annorlunda
  skriv ett brev till gphotos utvecklarsändlista (på engelska)
",Originalet hänvisar till gphotos utvecklarlista utan formatargument. Översättningen kräver en extra %s.
F024,P2,Format,locale-langpack/libgphoto2-6,po/locale-langpack/libgphoto2-6.po,8692,"Some notes about Epson cameras:
- Some parameters are not controllable remotely:
  * zoom
  * focus
  * custom white balance setup
- Configuration has been reverse-engineered with
  a PhotoPC 3000z, if your camera acts differently
  please send a mail to the gphoto developer mailing list (in English)
","Några anteckningar om Epson-kameror:
- Vissa parametrar går inte att fjärrstyra:
  * zoom
  * fokus
  * anpassad vitbalansinställning
- Konfigurationen har blivit avkodad med
  en PhotoPC 3000z, om din kamera beter sig annorlunda
  skriv ett brev till %s (på Engelska)
","Några anteckningar om Epson-kameror:
- Vissa parametrar går inte att fjärrstyra:
  * zoom
  * fokus
  * anpassad vitbalansinställning
- Konfigurationen har blivit avkodad med
  en PhotoPC 3000z, om din kamera beter sig annorlunda
  skriv ett brev till gphotos utvecklarsändlista (på engelska)
",Originalet hänvisar till gphotos utvecklarlista utan formatargument. Översättningen kräver en extra %s.
F025,P2,Markup,locale-langpack/simple-scan,po/locale-langpack/simple-scan.po,278,"Please check if your <a href=""http://www.sane-project.org/sane-supported-devices.html"">scanner is supported by SANE</a>, otherwise report the issue to the <a href=""https://alioth-lists.debian.net/cgi-bin/mailman/listinfo/sane-devel"">SANE mailing list</a>.","Se om din <a href=\""http://www.sane-project.org/sane-supported-devices.html bildläsare stöds av SANE</a>, annars kan du rapportera problemet till a href=""https://alioth-lists.debian.net/cgi-bin/mailman/listinfo/sane-devel sändlistan för SANE</a>.""","Kontrollera om din <a href=""http://www.sane-project.org/sane-supported-devices.html"">bildläsare stöds av SANE</a>, annars kan du rapportera problemet till <a href=""https://alioth-lists.debian.net/cgi-bin/mailman/listinfo/sane-devel"">sändlistan för SANE</a>.",Den första länken har felaktig escapning och saknar avslutande attributcitat och >. Den andra saknar även inledande <. Länktexten hamnar i attributen.
F026,P2,Markup,locale-langpack/synaptic,po/locale-langpack/synaptic.po,281,"<b><big>Mark upgrades in a smart way?</big></b>

The default upgrade method skips upgrades that would introduce conflicts or require installation of additional packages.

The smart upgrade (dist-upgrade) attempts to resolve conflicts and to fulfil all dependencies of upgrades in a smart way.

<b>Note:</b> The upgrades will be marked only. You still have to apply them afterwards.","<b><big>Markera uppgraderingar på ett smart sätt?</b></b>

Standardmetoden för uppgradering hoppar över de uppgraderingar som skulle introducera konflikter eller kräva installation av ytterligare paket.

Den smarta uppgraderingen (dist-upgrade) försöker att lösa konflikter och uppfylla alla beroenden för uppgraderingen på ett smart sätt.

<b>Observera:</b> Uppgraderingarna kommer endast markeras. Du behöver fortfarande verkställa dem efteråt.","<b><big>Markera uppgraderingar på ett smart sätt?</big></b>

Standardmetoden för uppgradering hoppar över de uppgraderingar som skulle introducera konflikter eller kräva installation av ytterligare paket.

Den smarta uppgraderingen (dist-upgrade) försöker att lösa konflikter och uppfylla alla beroenden för uppgraderingen på ett smart sätt.

<b>Observera:</b> Uppgraderingarna kommer endast markeras. Du behöver fortfarande verkställa dem efteråt.",<b><big> avslutas med </b></b>. Den inre taggen ska avslutas med </big>.
F027,P2,Markup,locale-langpack/slideshow-oem-config-ubuntu-mate,po/locale-langpack/slideshow-oem-config-ubuntu-mate.po,164,Ubuntu MATE comes with <strong>Firefox</strong> pre-installed and <strong>Google Chrome</strong> is in the Software Boutique so you can watch content from your favourite streaming services such as <strong>Netflix</strong> and <strong>YouTube</strong>.,"Ubuntu MATE har <strong>Firefox</strong> förinstallerat, och <strong>Google Chrome</strong> finns i Programbutiken så att du kan titta på innehåll från dina favorit-streaming-tjänster, såsom <strong>Netflix</string> och <strong>YouTube</strong>.","Ubuntu MATE har <strong>Firefox</strong> förinstallerat, och <strong>Google Chrome</strong> finns i Programbutiken så att du kan titta på innehåll från dina favorit-streaming-tjänster, såsom <strong>Netflix</strong> och <strong>YouTube</strong>.",</string> ska vara </strong>. Samma fel finns i OEM-bildspelet.
F027,P2,Markup,locale-langpack/slideshow-ubuntu-mate,po/locale-langpack/slideshow-ubuntu-mate.po,164,Ubuntu MATE comes with <strong>Firefox</strong> pre-installed and <strong>Google Chrome</strong> is in the Software Boutique so you can watch content from your favourite streaming services such as <strong>Netflix</strong> and <strong>YouTube</strong>.,"Ubuntu MATE har <strong>Firefox</strong> förinstallerat, och <strong>Google Chrome</strong> finns i Programbutiken så att du kan titta på innehåll från dina favorit-streaming-tjänster, såsom <strong>Netflix</string> och <strong>YouTube</strong>.","Ubuntu MATE har <strong>Firefox</strong> förinstallerat, och <strong>Google Chrome</strong> finns i Programbutiken så att du kan titta på innehåll från dina favorit-streaming-tjänster, såsom <strong>Netflix</strong> och <strong>YouTube</strong>.",</string> ska vara </strong>. Samma fel finns i OEM-bildspelet.
F028,P2,Länk,locale-langpack/snappy,po/locale-langpack/snappy.po,2305,"%s was not found in your $PATH. If you've not restarted your session since you installed snapd, try doing that. Please see https://forum.snapcraft.io/t/9469 for more details.","%s hittades inte i din $PATH. Om du inte har startat om din session sedan du installerade snapd, testa att göra det. Se https;//forum.snapcraft.io/t/9469 för fler detaljer.","%s hittades inte i din $PATH. Om du inte har startat om din session sedan du installerade snapd, testa att göra det. Se https://forum.snapcraft.io/t/9469 för fler detaljer.",https: har blivit https; så länken är inte längre korrekt.
F029,P2,Betydelse,locale/libmypaint,po/locale/libmypaint.po,287,Declination of stylus tilt on X-Axis. 90/-90 when stylus is parallel to tablet and 0 when it's perpendicular to tablet.,Pennans lutning i x-led relativt ritbrädans yta. Är 0 när pennan är parallell och 90.0 när den hålls vinkelrät.,Pennans lutning i x-led. Värdet är 90 eller −90 när pennan är parallell med ritplattan och 0 när den är vinkelrät mot ritplattan.,Originalet anger ±90 vid parallell penna och 0 vid vinkelrät penna. Översättningen anger motsatsen.
F030,P2,Betydelse,locale/libmypaint,po/locale/libmypaint.po,290,Declination of stylus tilt on Y-Axis. 90/-90 when stylus is parallel to tablet and 0 when it's perpendicular to tablet.,Pennans lutning i y-led relativt ritbrädans yta. Är 0 när pennan är parallell och 90.0 när den hålls vinkelrät.,Pennans lutning i y-led. Värdet är 90 eller −90 när pennan är parallell med ritplattan och 0 när den är vinkelrät mot ritplattan.,Originalet anger ±90 vid parallell penna och 0 vid vinkelrät penna. Översättningen anger motsatsen.
F031,P2,Sifferuppgift,locale/iso_639-3,po/locale/iso_639-3.po,15064,Middle French (ca. 1400-1600),Medelfranska (ca 1300-1600),Medelfranska (ca 1400-1600),Årtalen överensstämmer inte med katalogens engelska källtext. Förslaget återställer källtextens intervall.
F031,P2,Sifferuppgift,locale/iso_639_3,po/locale/iso_639_3.po,15064,Middle French (ca. 1400-1600),Medelfranska (ca 1300-1600),Medelfranska (ca 1400-1600),Årtalen överensstämmer inte med katalogens engelska källtext. Förslaget återställer källtextens intervall.
F032,P2,Sifferuppgift,locale/iso_639-3,po/locale/iso_639-3.po,15073,Middle Irish (900-1200),Medeliriska (ca 1100-1550),Medeliriska (ca 900-1200),Årtalen överensstämmer inte med katalogens engelska källtext. Förslaget återställer källtextens intervall.
F032,P2,Sifferuppgift,locale/iso_639_3,po/locale/iso_639_3.po,15073,Middle Irish (900-1200),Medeliriska (ca 1100-1550),Medeliriska (ca 900-1200),Årtalen överensstämmer inte med katalogens engelska källtext. Förslaget återställer källtextens intervall.
F033,P2,Sifferuppgift,locale/iso_639-3,po/locale/iso_639-3.po,18205,Old French (842-ca. 1400),Fornfranska (ca 842-1300),Fornfranska (ca 842-1400),Årtalen överensstämmer inte med katalogens engelska källtext. Förslaget återställer källtextens intervall.
F033,P2,Sifferuppgift,locale/iso_639_3,po/locale/iso_639_3.po,18205,Old French (842-ca. 1400),Fornfranska (ca 842-1300),Fornfranska (ca 842-1400),Årtalen överensstämmer inte med katalogens engelska källtext. Förslaget återställer källtextens intervall.
F034,P2,Sifferuppgift,locale/iso_639-3,po/locale/iso_639-3.po,18223,Old Irish (to 900),Forniriska (-1100),Forniriska (-900),Årtalen överensstämmer inte med katalogens engelska källtext. Förslaget återställer källtextens intervall.
F034,P2,Sifferuppgift,locale/iso_639_3,po/locale/iso_639_3.po,18223,Old Irish (to 900),Forniriska (-1100),Forniriska (-900),Årtalen överensstämmer inte med katalogens engelska källtext. Förslaget återställer källtextens intervall.
F035,P3,Stavning,locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,87,%s is not a valid route type,%s är inte en giltig rutttyp,%s är inte en giltig ruttyp,Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F036,P3,Stavning,locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,7022,"Whether to configure MPTCP endpoints and the address flags. If MPTCP is enabled in NetworkManager, it will configure the addresses of the interface as MPTCP endpoints. Note that IPv4 loopback addresses (127.0.0.0/8), IPv4 link local addresses (169.254.0.0/16), the IPv6 loopback address (::1), IPv6 link local addresses (fe80::/10), IPv6 unique local addresses (ULA, fc00::/7) and IPv6 privacy extension addresses (rfc3041, ipv6.ip6-privacy) will be excluded from being configured as endpoints. If ""disabled"" (0x1), MPTCP handling for the interface is disabled and no endpoints are registered. The ""enabled"" (0x2) flag means that MPTCP handling is enabled. This flag can also be implied from the presence of other flags. Even when enabled, MPTCP handling will by default still be disabled unless ""/proc/sys/net/mptcp/enabled"" sysctl is on. NetworkManager does not change the sysctl and this is up to the administrator or distribution. To configure endpoints even if the sysctl is disabled, ""also-without-sysctl"" (0x4) flag can be used. In that case, NetworkManager doesn't look at the sysctl and configures endpoints regardless. Even when enabled, NetworkManager will only configure MPTCP endpoints for a certain address family, if there is a unicast default route (0.0.0.0/0 or ::/0) in the main routing table. The flag ""also-without-default-route"" (0x8) can override that. When MPTCP handling is enabled then endpoints are configured with the specified address flags ""signal"" (0x10), ""subflow"" (0x20), ""backup"" (0x40), ""fullmesh"" (0x80). See ip-mptcp(8) manual for additional information about the flags. If the flags are zero (0x0), the global connection default from NetworkManager.conf is honored. If still unspecified, the fallback is ""enabled,subflow"". Note that this means that MPTCP is by default done depending on the ""/proc/sys/net/mptcp/enabled"" sysctl. NetworkManager does not change the MPTCP limits nor enable MPTCP via ""/proc/sys/net/mptcp/enabled"". That is a host configuration which the admin can change via sysctl and ip-mptcp. Strict reverse path filtering (rp_filter) breaks many MPTCP use cases, so when MPTCP handling for IPv4 addresses on the interface is enabled, NetworkManager would loosen the strict reverse path filtering (1) to the loose setting (2).","Huruvida MPTCP-ändpunkter och adressflaggor ska konfigureras. Om MPTCP är aktiverat i NetworkManager kommer den att konfigurera gränssnittets adresser som MPTCP-slutpunkter. Observera att IPv4 loopback-adresser (127.0.0.0/8), IPv4-länk lokala adresser (169.254.0.0/16), IPv6 loopback-adress (::1), IPv6-länk lokala adresser (fe80::/10), IPv6 unik lokal adresser (ULA, fc00::/7) och IPv6 integritetstilläggsadresser (rfc3041, ipv6.ip6-privacy) kommer att uteslutas från att konfigureras som slutpunkter. Om ""inaktiverad"" (0x1) är MTCP-hantering för gränssnittet inaktiverad och inga slutpunkter registreras. Flaggan ""enabled"" (0x2) betyder att MPTCP-hantering är aktiverad. Denna flagga kan också antydas från närvaron av andra flaggor. Även när den är aktiverad, kommer MPTCP-hantering som standard fortfarande att vara inaktiverad om inte ""/proc/sys/net/mptcp/enabled"" sysctl är på. NetworkManager ändrar inte sysctl och detta är upp till administratören eller distributionen. För att konfigurera slutpunkter även om sysctl är inaktiverat kan flaggan ""also-without-sysctl"" (0x4) användas. I så fall tittar NetworkManager inte på sysctl och konfigurerar slutpunkter oavsett. Även när den är aktiverad kommer NetworkManager endast att konfigurera MPTCP-slutpunkter för en viss adressfamilj, om det finns en unicast-standardrutt (0.0.0.0/0 eller ::/0) i huvudrutttabellen. Flaggan ""även-utan-default-route"" (0x8) kan åsidosätta det. När MPTCP-hantering är aktiverad konfigureras slutpunkter med de angivna adressflaggorna ""signal"" (0x10), ""subflow"" (0x20), ""backup"" (0x40), ""fullmesh"" (0x80). Se ip-mptcp(8) manual för ytterligare information om flaggorna. Om flaggorna är noll (0x0), uppfylls den globala anslutningsstandarden från NetworkManager.conf. Om den fortfarande är ospecificerad är reservfunktionen ""enabled,subflow"". Observera att detta betyder att MPTCP görs som standard beroende på ""/proc/sys/net/mptcp/enabled"" sysctl. NetworkManager ändrar inte MPTCP-gränserna eller aktiverar MPTCP via ""/proc/sys/net/mptcp/enabled"". Det är en värdkonfiguration som administratören kan ändra via sysctl och ip-mptcp. Strikt omvänd sökvägsfiltrering (rp_filter) bryter många MPTCP-användningsfall, så när MPTCP-hantering för IPv4-adresser på gränssnittet är aktiverad, skulle NetworkManager lossa den strikta omvända sökvägsfiltreringen (1) till den lösa inställningen (2).","Huruvida MPTCP-ändpunkter och adressflaggor ska konfigureras. Om MPTCP är aktiverat i NetworkManager kommer den att konfigurera gränssnittets adresser som MPTCP-slutpunkter. Observera att IPv4 loopback-adresser (127.0.0.0/8), IPv4-länk lokala adresser (169.254.0.0/16), IPv6 loopback-adress (::1), IPv6-länk lokala adresser (fe80::/10), IPv6 unik lokal adresser (ULA, fc00::/7) och IPv6 integritetstilläggsadresser (rfc3041, ipv6.ip6-privacy) kommer att uteslutas från att konfigureras som slutpunkter. Om ""inaktiverad"" (0x1) är MTCP-hantering för gränssnittet inaktiverad och inga slutpunkter registreras. Flaggan ""enabled"" (0x2) betyder att MPTCP-hantering är aktiverad. Denna flagga kan också antydas från närvaron av andra flaggor. Även när den är aktiverad, kommer MPTCP-hantering som standard fortfarande att vara inaktiverad om inte ""/proc/sys/net/mptcp/enabled"" sysctl är på. NetworkManager ändrar inte sysctl och detta är upp till administratören eller distributionen. För att konfigurera slutpunkter även om sysctl är inaktiverat kan flaggan ""also-without-sysctl"" (0x4) användas. I så fall tittar NetworkManager inte på sysctl och konfigurerar slutpunkter oavsett. Även när den är aktiverad kommer NetworkManager endast att konfigurera MPTCP-slutpunkter för en viss adressfamilj, om det finns en unicast-standardrutt (0.0.0.0/0 eller ::/0) i huvudruttabellen. Flaggan ""även-utan-default-route"" (0x8) kan åsidosätta det. När MPTCP-hantering är aktiverad konfigureras slutpunkter med de angivna adressflaggorna ""signal"" (0x10), ""subflow"" (0x20), ""backup"" (0x40), ""fullmesh"" (0x80). Se ip-mptcp(8) manual för ytterligare information om flaggorna. Om flaggorna är noll (0x0), uppfylls den globala anslutningsstandarden från NetworkManager.conf. Om den fortfarande är ospecificerad är reservfunktionen ""enabled,subflow"". Observera att detta betyder att MPTCP görs som standard beroende på ""/proc/sys/net/mptcp/enabled"" sysctl. NetworkManager ändrar inte MPTCP-gränserna eller aktiverar MPTCP via ""/proc/sys/net/mptcp/enabled"". Det är en värdkonfiguration som administratören kan ändra via sysctl och ip-mptcp. Strikt omvänd sökvägsfiltrering (rp_filter) bryter många MPTCP-användningsfall, så när MPTCP-hantering för IPv4-adresser på gränssnittet är aktiverad, skulle NetworkManager lossa den strikta omvända sökvägsfiltreringen (1) till den lösa inställningen (2).",Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F037,P3,Stavning,locale-langpack/app-install-data,po/locale-langpack/app-install-data.po,4845,Edit your network connections,Redigera dina nätverksanslutnngar,Redigera dina nätverksanslutningar,Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F038,P3,Stavning,locale-langpack/app-install-data,po/locale-langpack/app-install-data.po,15555,Universal karaoke songs and movies player,Allmänn uppspelare av karaokelåtar och -filmer,Allmän uppspelare av karaokelåtar och -filmer,Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
F039,P3,Stavning,locale-langpack/ubiquity-debconf,po/locale-langpack/ubiquity-debconf.po,810,"This may be due to using an old installer image, or it may be due to a bug in some of the packages listed above. More details may be found in /var/log/syslog. The installer will try to continue anyway, but may fail at a later point, and will not be able to install or remove other packages (possibly including itself) from the installed system. You should first look for newer versions of your installer image, or failing that report the problem to your distributor.","Det här kan bero på användningen av en gammal installationsavbild, eller det kan bero på ett fel i några av de paket som listas ovan. Mer information kan hittas i filen /var/log/syslog. Installationsprogrammet kommer att försöka fortsätta ändå men kan misslyckas vid en senare tidspunkt, och kommer inte kunna installera eller ta bort andra paket (kanske även sig själv) från det installerade systemet. Du bör först leta efter nyare versioner av din installationsavbild, eller rapportera misslyckandet till din leverantör.","Det här kan bero på användningen av en gammal installationsavbild, eller det kan bero på ett fel i några av de paket som listas ovan. Mer information kan hittas i filen /var/log/syslog. Installationsprogrammet kommer att försöka fortsätta ändå men kan misslyckas vid en senare tidpunkt, och kommer inte kunna installera eller ta bort andra paket (kanske även sig själv) från det installerade systemet. Du bör först leta efter nyare versioner av din installationsavbild, eller rapportera misslyckandet till din leverantör.",Ett överflödigt eller saknat tecken ger ett felstavat svenskt ord.
